Section,Subsection,Image Path,Context,Heading/Title,Description,Image Type,Usage,Dimensions,Priority,Current Status
Hero Section,Video Background,/assets/videos/wm-2025-intro-M2_l2.mp4,Hero video background for main landing section,Corporate Gatherings into Remarkable Experiences,Main hero video showcasing corporate events and company capabilities,Video,Background Video,Full screen responsive,Critical,Required
Hero Section,Video Poster,/assets/images/home/01-01.png,Fallback poster image for hero video,Corporate Gatherings into Remarkable Experiences,Poster image displayed before video loads,Image,Video Poster,Full screen responsive,Critical,Required
Services Section,Business Events,/assets/images/services/DSC01980-scaled-1.jpg,Service card image for Business Events category,Business Events,Professional business conferences and corporate meetings,Image,Service Card,264x400px (aspect-ratio),High,Required
Services Section,Celebration Galore,/assets/images/services/DSC01901-scaled-1.jpg,Service card image for Corporate Celebrations,Celebration Galore,Corporate celebrations and annual day events,Image,Service Card,264x400px (aspect-ratio),High,Required
Services Section,Inauguration,/assets/images/services/DSC01878-scaled-1.jpg,Service card image for Inauguration services,Inauguration,Office launches and ribbon cutting ceremonies,Image,Service Card,264x400px (aspect-ratio),High,Required
Services Section,Industry Convention,/assets/images/services/DSC02449-scaled-1.jpg,Service card image for Industry Conventions,Industry Convention Customer & Dealers Meet,Industry conventions and customer meet events,Image,Service Card,264x400px (aspect-ratio),High,Required
Services Section,Hybrid Events,/assets/images/services/2B6A1363-scaled-1.jpg,Service card image for Hybrid Events,Hybrid Events,Virtual and in-person hybrid event solutions,Image,Service Card,264x400px (aspect-ratio),High,Required
Services Section,Special Projects,/assets/images/services/DSC01696-scaled-1.jpg,Service card image for Special Projects,Special Projects,Government and custom tailored events,Image,Service Card,264x400px (aspect-ratio),High,Required
Portfolio Gallery,Corporate Conference,/assets/images/services/DSC01514-scaled-1.jpg,Portfolio showcase image,Corporate Conference,Professional corporate conference setup,Image,Gallery Item,Responsive grid item,Medium,Required
Portfolio Gallery,Cultural Celebration,/assets/images/services/2B6A0590-1-scaled-1.jpg,Portfolio showcase image,Cultural Celebration,Corporate cultural celebration event,Image,Gallery Item,Responsive grid item,Medium,Required
Portfolio Gallery,Grand Opening,/assets/images/services/DSC04807-1536x1024.jpg,Portfolio showcase image,Grand Opening,Office or facility inauguration ceremony,Image,Gallery Item,Responsive grid item,Medium,Required
Portfolio Gallery,Team Building,/assets/images/services/P__3108-scaled-1.jpg,Portfolio showcase image,Team Building,Corporate team building activities,Image,Gallery Item,Responsive grid item,Medium,Required
Portfolio Gallery,Product Launch,/assets/images/services/DSC01247-scaled-1.jpg,Portfolio showcase image,Product Launch,Corporate product launch event,Image,Gallery Item,Responsive grid item,Medium,Required
Portfolio Gallery,Festival Event,/assets/images/services/92A4532-scaled-1.jpg,Portfolio showcase image,Festival Event,Corporate festival celebration,Image,Gallery Item,Responsive grid item,Medium,Required
Team Section,Prakash A Vaswani,/assets/images/team/team-1.jpg,Team member profile image,Director – Client Relations & Strategic Initiatives,Prakash A Vaswani - Strategic Planning expertise,Image,Team Profile,Circular/Square profile,Medium,Required
Team Section,Vinay Kukreja,/assets/images/team/team-2.jpg,Team member profile image,Director – Production Finance & Operations,Vinay Kukreja - Operations Excellence expertise,Image,Team Profile,Circular/Square profile,Medium,Required
Team Section,Hasan Peer H C,/assets/images/team/team-3.jpg,Team member profile image,Creative Director,Hasan Peer H C - Creative Vision expertise,Image,Team Profile,Circular/Square profile,Medium,Required
Team Section,Naveen Abraham A,/assets/images/team/team-4.jpg,Team member profile image,Head - Operations,Naveen Abraham A - Execution Mastery expertise,Image,Team Profile,Circular/Square profile,Medium,Required
Brand Assets,Logo White,N/A (Referenced in layout),White version logo for dark backgrounds,White Massif Logo,Company logo in white for dark sections,Image,Logo,Various sizes,High,Missing
Brand Assets,Logo Color,N/A (Referenced in layout),Main color logo for light backgrounds,White Massif Logo,Company logo in brand colors,Image,Logo,Various sizes,High,Missing
Icons,Service Icons,N/A (Lucide React Icons),Vector icons for services and features,Various Service Categories,Icons for Target Heart Shield Sparkles Users Star Globe Award,Icon,UI Element,24x24px to 32x32px,Low,Implemented
Fallback Images,Service Fallbacks,N/A (Solid colors used),Fallback colors when images don't load,Service Cards,Solid color backgrounds as image fallbacks,Color,Fallback,264x400px,Low,Implemented
